Nr,Destination,Prefix,Zone,Mobile,Cost
1570,"Dominican Republic, mob Others",1829991,2,1,0.40
1571,"Dominican Republic, mob Orange",1829993,2,1,0.40
1572,"Dominican Republic, mob Orange",1829994,2,1,0.40
1573,Dominican Republic,1849,2,,0.20
1574,"Dominican Republic, mob Others",1849201,2,1,0.40
1575,"Dominican Republic, mob Others",1849203,2,1,0.40
1576,"Dominican Republic, mob Others",1849205,2,1,0.40
1577,"Dominican Republic, mob Others",1849206,2,1,0.40
1578,"Dominican Republic, mob Others",1849207,2,1,0.40
1579,"Dominican Republic, mob Others",1849208,2,1,0.40
1580,"Dominican Republic, mob Others",1849209,2,1,0.40
1581,"Dominican Republic, mob Others",1849210,2,1,0.40
1582,"Dominican Republic, mob Others",1849212,2,1,0.40
1583,"Dominican Republic, mob Centennial",1849213,2,1,0.40
1584,"Dominican Republic, mob Others",1849214,2,1,0.40
1585,"Dominican Republic, mob Centennial",1849215,2,1,0.40
1586,"Dominican Republic, mob Centennial",1849216,2,1,0.40
1587,"Dominican Republic, mob Centennial",1849217,2,1,0.40
1588,"Dominican Republic, mob Centennial",1849218,2,1,0.40
1589,"Dominican Republic, mob Centennial",1849219,2,1,0.40
1590,"Dominican Republic, mob Others",184922,2,1,0.40
1591,"Dominican Republic, mob Others",1849220,2,1,0.40
1592,"Dominican Republic, mob Centennial",1849221,2,1,0.40
1593,"Dominican Republic, mob Centennial",1849222,2,1,0.40
1594,"Dominican Republic, mob Centennial",1849223,2,1,0.40
1595,"Dominican Republic, mob Centennial",1849224,2,1,0.40
1596,"Dominican Republic, mob Centennial",1849225,2,1,0.40
1597,"Dominican Republic, mob Centennial",1849226,2,1,0.40
1598,"Dominican Republic, mob Centennial",1849227,2,1,0.40
1599,"Dominican Republic, mob Centennial",1849228,2,1,0.40
1600,"Dominican Republic, mob Centennial",1849229,2,1,0.40
1601,"Dominican Republic, mob Centennial",1849230,2,1,0.40
1602,"Dominican Republic, mob Centennial",1849231,2,1,0.40
1603,"Dominican Republic, mob Centennial",1849232,2,1,0.40
1604,"Dominican Republic, mob Centennial",1849233,2,1,0.40
1605,"Dominican Republic, mob Centennial",1849234,2,1,0.40
1606,"Dominican Republic, mob Centennial",1849235,2,1,0.40
1607,"Dominican Republic, mob Centennial",1849239,2,1,0.40
1608,"Dominican Republic, mob Centennial",1849240,2,1,0.40
1609,"Dominican Republic, mob Centennial",1849241,2,1,0.40
1610,"Dominican Republic, mob Centennial",1849242,2,1,0.40
1611,"Dominican Republic, mob Orange",1849243,2,1,0.40
1612,"Dominican Republic, mob Orange",1849244,2,1,0.40
1613,"Dominican Republic, mob Orange",1849245,2,1,0.40
1614,"Dominican Republic, mob Orange",1849246,2,1,0.40
1615,"Dominican Republic, mob Orange",1849247,2,1,0.40
1616,"Dominican Republic, mob Orange",1849248,2,1,0.40
1617,"Dominican Republic, mob Orange",1849249,2,1,0.40
1618,"Dominican Republic, mob Orange",184925,2,1,0.40
1619,"Dominican Republic, mob Orange",1849260,2,1,0.40
1620,"Dominican Republic, mob Orange",1849261,2,1,0.40
1621,"Dominican Republic, mob Orange",1849262,2,1,0.40
1622,"Dominican Republic, mob Orange",1849263,2,1,0.40
1623,"Dominican Republic, mob Orange",1849264,2,1,0.40
1624,"Dominican Republic, mob Orange",1849265,2,1,0.40
1625,"Dominican Republic, mob Orange",1849266,2,1,0.40
1626,"Dominican Republic, mob Orange",1849267,2,1,0.40
1627,"Dominican Republic, mob Centennial",1849305,2,1,0.40
1628,"Dominican Republic, mob Centennial",1849318,2,1,0.40
1629,"Dominican Republic, mob Others",1849330,2,1,0.40
1630,"Dominican Republic, mob Others",1849340,2,1,0.40
1631,"Dominican Republic, mob Others",1849341,2,1,0.40
1632,"Dominican Republic, mob Others",1849342,2,1,0.40
1633,"Dominican Republic, mob Others",1849343,2,1,0.40
1634,"Dominican Republic, mob Others",1849344,2,1,0.40
1635,"Dominican Republic, mob Others",1849350,2,1,0.40
1636,"Dominican Republic, mob Others",1849351,2,1,0.40
1637,"Dominican Republic, mob Others",1849352,2,1,0.40
1638,"Dominican Republic, mob Others",1849353,2,1,0.40
1639,"Dominican Republic, mob Others",1849354,2,1,0.40
1640,"Dominican Republic, mob Others",1849356,2,1,0.40
1641,"Dominican Republic, mob Others",1849357,2,1,0.40
1642,"Dominican Republic, mob Others",1849358,2,1,0.40
1643,"Dominican Republic, mob Others",1849359,2,1,0.40
1644,"Dominican Republic, mob Others",1849360,2,1,0.40
1645,"Dominican Republic, mob Centennial",1849367,2,1,0.40
1646,"Dominican Republic, mob Others",1849401,2,1,0.40
1647,"Dominican Republic, mob Others",1849402,2,1,0.40
1648,"Dominican Republic, mob Others",1849403,2,1,0.40
1649,"Dominican Republic, mob Others",1849404,2,1,0.40
1650,"Dominican Republic, mob Others",1849405,2,1,0.40
1651,"Dominican Republic, mob Others",1849406,2,1,0.40
1652,"Dominican Republic, mob Others",1849407,2,1,0.40
1653,"Dominican Republic, mob Others",1849408,2,1,0.40
1654,"Dominican Republic, mob Others",1849409,2,1,0.40
1655,"Dominican Republic, mob Others",1849410,2,1,0.40
1656,"Dominican Republic, mob Centennial",1849416,2,1,0.40
1657,"Dominican Republic, mob Centennial",1849437,2,1,0.40
1658,"Dominican Republic, mob Others",184945,2,1,0.40
1659,"Dominican Republic, mob Centennial",1849484,2,1,0.40
1660,"Dominican Republic, mob Centennial",1849542,2,1,0.40
1661,"Dominican Republic, mob Centennial",1849569,2,1,0.40
1662,"Dominican Republic, mob Centennial",1849573,2,1,0.40
1663,"Dominican Republic, mob Centennial",1849587,2,1,0.40
1664,"Dominican Republic, mob Centennial",1849590,2,1,0.40
1665,"Dominican Republic, mob Orange",1849607,2,1,0.40
1666,"Dominican Republic, mob Orange",1849620,2,1,0.40
1667,"Dominican Republic, mob Orange",1849621,2,1,0.40
1668,"Dominican Republic, mob Orange",1849623,2,1,0.40
1669,"Dominican Republic, mob Orange",1849624,2,1,0.40
1670,"Dominican Republic, mob Orange",1849626,2,1,0.40
1671,"Dominican Republic, mob Orange",1849627,2,1,0.40
1672,"Dominican Republic, mob Orange",1849628,2,1,0.40
1673,"Dominican Republic, mob Orange",1849629,2,1,0.40
1674,"Dominican Republic, mob Orange",184963,2,1,0.40
1675,"Dominican Republic, mob Orange",1849642,2,1,0.40
1676,"Dominican Republic, mob Others",1849650,2,1,0.40
1677,"Dominican Republic, mob Others",1849651,2,1,0.40
1678,"Dominican Republic, mob Others",1849652,2,1,0.40
1679,"Dominican Republic, mob Others",1849653,2,1,0.40
1680,"Dominican Republic, mob Others",1849654,2,1,0.40
1681,"Dominican Republic, mob Others",1849655,2,1,0.40
1682,"Dominican Republic, mob Others",1849656,2,1,0.40
1683,"Dominican Republic, mob Others",1849657,2,1,0.40
1684,"Dominican Republic, mob Others",1849658,2,1,0.40
1685,"Dominican Republic, mob Centennial",1849701,2,1,0.40
1686,"Dominican Republic, mob Orange",1849707,2,1,0.40
1687,"Dominican Republic, mob Tricom",1849710,2,1,0.40
1688,"Dominican Republic, mob Centennial",1849711,2,1,0.40
1689,"Dominican Republic, mob Orange",1849720,2,1,0.40
1690,"Dominican Republic, mob Centennial",1849727,2,1,0.40
1691,"Dominican Republic, mob Centennial",1849739,2,1,0.40
1692,"Dominican Republic, mob Orange",1849750,2,1,0.40
1693,"Dominican Republic, mob Orange",1849751,2,1,0.40
1694,"Dominican Republic, mob Orange",1849752,2,1,0.40
1695,"Dominican Republic, mob Orange",1849753,2,1,0.40
1696,"Dominican Republic, mob Orange",1849754,2,1,0.40
1697,"Dominican Republic, mob Orange",1849763,2,1,0.40
1698,"Dominican Republic, mob Orange",1849785,2,1,0.40
1699,"Dominican Republic, mob Centennial",1849797,2,1,0.40
1700,"Dominican Republic, mob Orange",1849802,2,1,0.40
1701,"Dominican Republic, mob Orange",1849803,2,1,0.40
1702,"Dominican Republic, mob Orange",1849804,2,1,0.40
1703,"Dominican Republic, mob Orange",1849806,2,1,0.40
1704,"Dominican Republic, mob Centennial",1849814,2,1,0.40
1705,"Dominican Republic, mob Orange",1849815,2,1,0.40
1706,"Dominican Republic, mob Orange",1849816,2,1,0.40
1707,"Dominican Republic, mob Orange",1849817,2,1,0.40
1708,"Dominican Republic, mob Centennial",1849828,2,1,0.40
1709,"Dominican Republic, mob Orange",1849845,2,1,0.40
1710,"Dominican Republic, mob Orange",1849846,2,1,0.40
1711,"Dominican Republic, mob Orange",1849847,2,1,0.40
1712,"Dominican Republic, mob Orange",1849848,2,1,0.40
1713,"Dominican Republic, mob Orange",184985,2,1,0.40
1714,"Dominican Republic, mob Orange",1849860,2,1,0.40
1715,"Dominican Republic, mob Orange",1849861,2,1,0.40
1716,"Dominican Republic, mob Orange",1849862,2,1,0.40
1717,"Dominican Republic, mob Orange",1849863,2,1,0.40
1718,"Dominican Republic, mob Orange",1849864,2,1,0.40
1719,"Dominican Republic, mob Orange",1849865,2,1,0.40
1720,"Dominican Republic, mob Orange",1849867,2,1,0.40
1721,"Dominican Republic, mob Orange",1849868,2,1,0.40
1722,"Dominican Republic, mob Orange",1849869,2,1,0.40
1723,"Dominican Republic, mob Orange",1849873,2,1,0.40
1724,"Dominican Republic, mob Centennial",1849874,2,1,0.40
1725,"Dominican Republic, mob Orange",1849875,2,1,0.40
1726,"Dominican Republic, mob Orange",1849876,2,1,0.40
1727,"Dominican Republic, mob Orange",1849878,2,1,0.40
1728,"Dominican Republic, mob Orange",1849879,2,1,0.40
1729,"Dominican Republic, mob Orange",1849880,2,1,0.40
1730,"Dominican Republic, mob Orange",1849881,2,1,0.40
1731,"Dominican Republic, mob Orange",1849882,2,1,0.40
1732,"Dominican Republic, mob Orange",1849883,2,1,0.40
1733,"Dominican Republic, mob Orange",1849884,2,1,0.40
1734,"Dominican Republic, mob Orange",1849885,2,1,0.40
1735,"Dominican Republic, mob Orange",1849886,2,1,0.40
1736,"Dominican Republic, mob Orange",1849889,2,1,0.40
1737,"Dominican Republic, mob Orange",1849912,2,1,0.40
1738,"Dominican Republic, mob Orange",1849913,2,1,0.40
1739,"Dominican Republic, mob Orange",1849914,2,1,0.40
1740,"Dominican Republic, mob Orange",1849915,2,1,0.40
1741,"Dominican Republic, mob Orange",1849916,2,1,0.40
1742,"Dominican Republic, mob Orange",1849917,2,1,0.40
1743,"Dominican Republic, mob Orange",1849918,2,1,0.40
1744,"Dominican Republic, mob Orange",1849919,2,1,0.40
1745,"Dominican Republic, mob Orange",1849925,2,1,0.40
1746,"Dominican Republic, mob Centennial",1849993,2,1,0.40
1747,Canada,1867,1,,0.05
1748,Trinidad & Tobago,1868,3,,0.30
1749,"Trinidad & Tobago, mobile",186829,3,1,0.50
1750,"Trinidad & Tobago, mobile",186830,3,1,0.50
1751,"Trinidad & Tobago, mobile",186831,3,1,0.50
1752,"Trinidad & Tobago, mobile",186832,3,1,0.50
1753,"Trinidad & Tobago, mobile",186833,3,1,0.50
1754,"Trinidad & Tobago, mobile",186834,3,1,0.50
1755,"Trinidad & Tobago, mobile",186835,3,1,0.50
1756,"Trinidad & Tobago, mobile",186836,3,1,0.50
1757,"Trinidad & Tobago, mobile",186837,3,1,0.50
1758,"Trinidad & Tobago, mobile",186838,3,1,0.50
1759,"Trinidad & Tobago, mobile",186839,3,1,0.50
1760,"Trinidad & Tobago, mobile",186840,3,1,0.50
1761,"Trinidad & Tobago, mobile",186841,3,1,0.50
1762,"Trinidad & Tobago, mobile",1868420,3,1,0.50
1763,"Trinidad & Tobago, mobile",1868421,3,1,0.50
1764,"Trinidad & Tobago, mobile",186846,3,1,0.50
1765,"Trinidad & Tobago, mobile",186847,3,1,0.50
1766,"Trinidad & Tobago, mobile",186848,3,1,0.50
1767,"Trinidad & Tobago, mobile",186849,3,1,0.50
1768,"Trinidad & Tobago, mobile",1868620,3,1,0.50
1769,"Trinidad & Tobago, mobile",1868678,3,1,0.50
1770,"Trinidad & Tobago, mobile",186868,3,1,0.50
1771,"Trinidad & Tobago, mobile",18687,3,1,0.50
1772,St. Kitts & Nevis,1869,4,,0.75
1773,"St. Kitts & Nevis, mobile",1869556,4,1,0.95
1774,"St. Kitts & Nevis, mobile",1869557,4,1,0.95
1775,"St. Kitts & Nevis, mobile",1869558,4,1,0.95
1776,"St. Kitts & Nevis, mobile",1869565,4,1,0.95
1777,"St. Kitts & Nevis, mobile",1869566,4,1,0.95
1778,"St. Kitts & Nevis, mobile",1869567,4,1,0.95
1779,"St. Kitts & Nevis, mobile",18696,4,1,0.95
1780,"St. Kitts & Nevis, mobile",1869662,4,1,0.95
1781,"St. Kitts & Nevis, mobile",1869663,4,1,0.95
1782,"St. Kitts & Nevis, mobile",1869664,4,1,0.95
1783,"St. Kitts & Nevis, mobile",1869665,4,1,0.95
1784,"St. Kitts & Nevis, mobile",1869667,4,1,0.95
1785,"St. Kitts & Nevis, mobile",1869668,4,1,0.95
1786,"St. Kitts & Nevis, mobile",1869669,4,1,0.95
1787,"St. Kitts & Nevis, mobile",1869760,4,1,0.95
1788,"St. Kitts & Nevis, mobile",1869762,4,1,0.95
1789,"St. Kitts & Nevis, mobile",1869763,4,1,0.95
1790,"St. Kitts & Nevis, mobile",1869764,4,1,0.95
1791,"St. Kitts & Nevis, mobile",1869765,4,1,0.95
1792,Jamaica,1876,3,,0.30
1793,"Jamaica, mobile",1876210,3,1,0.50
1794,"Jamaica, mobile",187624,3,1,0.50
1795,"Jamaica, mobile",187625,3,1,0.50
1796,"Jamaica, mobile",187626,3,1,0.50
1797,"Jamaica, mobile",1876260,3,1,0.50
1798,"Jamaica, mobile",1876265,3,1,0.50
1799,"Jamaica, mobile",1876266,3,1,0.50
1800,"Jamaica, mobile",1876267,3,1,0.50
1801,"Jamaica, mobile",1876268,3,1,0.50
1802,"Jamaica, mobile",1876269,3,1,0.50
1803,"Jamaica, mobile",1876275,3,1,0.50
1804,"Jamaica, mobile",1876276,3,1,0.50
1805,"Jamaica, mobile",1876277,3,1,0.50
1806,"Jamaica, mobile",1876278,3,1,0.50
1807,"Jamaica, mobile",1876279,3,1,0.50
1808,"Jamaica, mobile",187628,3,1,0.50
1809,"Jamaica, mobile",1876285,3,1,0.50
1810,"Jamaica, mobile",1876286,3,1,0.50
1811,"Jamaica, mobile",1876287,3,1,0.50
1812,"Jamaica, mobile",1876288,3,1,0.50
1813,"Jamaica, mobile",1876289,3,1,0.50
1814,"Jamaica, mobile",187629,3,1,0.50
1815,"Jamaica, mobile",187630,3,1,0.50
1816,"Jamaica, mobile",187631,3,1,0.50
1817,"Jamaica, mobile",187632,3,1,0.50
1818,"Jamaica, mobile",187633,3,1,0.50
1819,"Jamaica, mobile",187634,3,1,0.50
1820,"Jamaica, mobile",187635,3,1,0.50
1821,"Jamaica, mobile",187636,3,1,0.50
1822,"Jamaica, mobile",187637,3,1,0.50
1823,"Jamaica, mobile",187638,3,1,0.50
1824,"Jamaica, mobile",187639,3,1,0.50
1825,"Jamaica, mobile",18764,3,1,0.50
1826,"Jamaica, mobile",187649,3,1,0.50
1827,"Jamaica, mobile",1876503,3,1,0.50
1828,"Jamaica, mobile",1876504,3,1,0.50
1829,"Jamaica, mobile",1876505,3,1,0.50
1830,"Jamaica, mobile",1876506,3,1,0.50
1831,"Jamaica, mobile",1876507,3,1,0.50
1832,"Jamaica, mobile",1876508,3,1,0.50
1833,"Jamaica, mobile",1876509,3,1,0.50
1834,"Jamaica, mobile",1876520,3,1,0.50
1835,"Jamaica, mobile",1876521,3,1,0.50
1836,"Jamaica, mobile",1876522,3,1,0.50
1837,"Jamaica, mobile",1876524,3,1,0.50
1838,"Jamaica, mobile",1876527,3,1,0.50
1839,"Jamaica, mobile",1876528,3,1,0.50
1840,"Jamaica, mobile",1876529,3,1,0.50
1841,"Jamaica, mobile",187653,3,1,0.50
1842,"Jamaica, mobile",187654,3,1,0.50
1843,"Jamaica, mobile",1876550,3,1,0.50
1844,"Jamaica, mobile",1876551,3,1,0.50
1845,"Jamaica, mobile",1876552,3,1,0.50
1846,"Jamaica, mobile",1876553,3,1,0.50
1847,"Jamaica, mobile",1876554,3,1,0.50
1848,"Jamaica, mobile",1876556,3,1,0.50
1849,"Jamaica, mobile",1876557,3,1,0.50
1850,"Jamaica, mobile",1876558,3,1,0.50
1851,"Jamaica, mobile",1876559,3,1,0.50
1852,"Jamaica, mobile",1876560,3,1,0.50
1853,"Jamaica, mobile",1876561,3,1,0.50
1854,"Jamaica, mobile",1876562,3,1,0.50
1855,"Jamaica, mobile",1876564,3,1,0.50
1856,"Jamaica, mobile",1876565,3,1,0.50
1857,"Jamaica, mobile",1876566,3,1,0.50
1858,"Jamaica, mobile",1876567,3,1,0.50
1859,"Jamaica, mobile",1876568,3,1,0.50
1860,"Jamaica, mobile",1876569,3,1,0.50
1861,"Jamaica, mobile",187657,3,1,0.50
1862,"Jamaica, mobile",187658,3,1,0.50
1863,"Jamaica, mobile",187659,3,1,0.50
1864,"Jamaica, mobile",1876618,3,1,0.50
1865,"Jamaica, mobile",1876619,3,1,0.50
1866,"Jamaica, mobile",1876621,3,1,0.50
1867,"Jamaica, mobile",1876648,3,1,0.50
1868,"Jamaica, mobile",1876649,3,1,0.50
1869,"Jamaica, mobile",1876665,3,1,0.50
1870,"Jamaica, mobile",1876667,3,1,0.50
1871,"Jamaica, mobile",1876668,3,1,0.50
1872,"Jamaica, mobile",1876669,3,1,0.50
1873,"Jamaica, mobile",1876700,3,1,0.50
1874,"Jamaica, mobile",1876707,3,1,0.50
1875,"Jamaica, mobile",187677,3,1,0.50
1876,"Jamaica, mobile",187678,3,1,0.50
1877,"Jamaica, mobile",187679,3,1,0.50
1878,"Jamaica, mobile",187680,3,1,0.50
1879,"Jamaica, mobile",187681,3,1,0.50
1880,"Jamaica, mobile",187682,3,1,0.50
1881,"Jamaica, mobile",187683,3,1,0.50
1882,"Jamaica, mobile",187684,3,1,0.50
1883,"Jamaica, mobile",187685,3,1,0.50
1884,"Jamaica, mobile",187686,3,1,0.50
1885,"Jamaica, mobile",187687,3,1,0.50
1886,"Jamaica, mobile",187688,3,1,0.50
1887,"Jamaica, mobile",187689,3,1,0.50
1888,"Jamaica, mobile",1876909,3,1,0.50
1889,"Jamaica, mobile",1876919,3,1,0.50
1890,"Jamaica, mobile",1876990,3,1,0.50
1891,"Jamaica, mobile",1876995,3,1,0.50
1892,"Jamaica, mobile",1876997,3,1,0.50
1893,"Jamaica, mobile",1876999,3,1,0.50
1894,Canada,1902,1,,0.05
1895,Canada,1905,1,,0.05
1896,Alaska,1907,2,,0.20
1897,Puerto Rico,1939,1,,0.05
1898,"Puerto Rico, mobile",1939218,1,1,0.25
1899,"Puerto Rico, mobile",1939241,1,1,0.25
1900,"Puerto Rico, mobile",1939389,1,1,0.25
1901,"Puerto Rico, mobile",1939397,1,1,0.25
1902,"Puerto Rico, mobile",1939475,1,1,0.25
1903,"Puerto Rico, mobile",1939579,1,1,0.25
1904,"Puerto Rico, mobile",1939628,1,1,0.25
1905,"Puerto Rico, mobile",1939630,1,1,0.25
1906,"Puerto Rico, mobile",1939639,1,1,0.25
1907,"Puerto Rico, mobile",1939640,1,1,0.25
1908,"Puerto Rico, mobile",1939642,1,1,0.25
1909,"Puerto Rico, mobile",1939644,1,1,0.25
1910,"Puerto Rico, mobile",1939645,1,1,0.25
1911,"Puerto Rico, mobile",1939717,1,1,0.25
1912,"Puerto Rico, mobile",1939940,1,1,0.25
1913,"Puerto Rico, mobile",1939969,1,1,0.25
1914,Egypt,20,3,,0.30
1915,"Egypt, mobile",2010,3,1,0.50
1916,"Egypt, mobile Etisalat",2011,3,1,0.50
1917,"Egypt, mobile",2012,3,1,0.50
1918,"Egypt, Cairo",202,3,,0.30
1919,"Egypt, Alexandria",203,3,,0.30
1920,Sud Sudan,211,4,,0.75
1921,Morocco,212,3,,0.30
1922,"Morocco, Fixed Alternative Networks",212520,3,,0.30
1923,"Morocco, Fixed Alternative Networks",212521,3,,0.30
1924,"Morocco, Casablanca",212522,3,,0.30
1925,"Morocco, Fixed Alternative Networks",212525,3,,0.30
1926,"Morocco, mobile Wana restraint mobility",212526,3,1,0.50
1927,"Morocco, mobile Wana restraint mobility",212527,3,1,0.50
1928,"Morocco, Fixed Alternative Networks",212529,3,,0.30
1929,"Morocco, Fixed Alternative Networks",212530,3,,0.30
1930,"Morocco, Fixed Alternative Networks",212531,3,,0.30
1931,"Morocco, Fixed Alternative Networks",212532,3,,0.30
1932,"Morocco, mobile Wana restraint mobility",212533,3,1,0.50
1933,"Morocco, mobile Wana restraint mobility",212534,3,1,0.50
1934,Morocco,212537,3,,0.30
1935,"Morocco, Fixed Alternative Networks",212538,3,,0.30
1936,"Morocco, mobile Wana restraint mobility",212540,3,1,0.50
1937,"Morocco, mobile Wana restraint mobility",212546,3,1,0.50
1938,"Morocco, mobile Wana restraint mobility",212547,3,1,0.50
1939,"Morocco, mobile Wana restraint mobility",212550,3,1,0.50
1940,"Morocco, mobile Wana restraint mobility",212553,3,1,0.50
1941,"Morocco, mobile",2126,3,1,0.50
1942,"Morocco, mobile Wana full mobility",212600,3,1,0.50
1943,"Morocco, mobile Wana full mobility",212601,3,1,0.50
1944,"Morocco, mobile Wana full mobility",212602,3,1,0.50
1945,"Morocco, mobile Wana full mobility",212603,3,1,0.50
1946,"Morocco, mobile Wana full mobility",212604,3,1,0.50
1947,"Morocco, mobile Wana full mobility",212605,3,1,0.50
1948,"Morocco, mobile Wana full mobility",212606,3,1,0.50
1949,"Morocco, mobile Wana full mobility",212607,3,1,0.50
1950,"Morocco, mobile Wana full mobility",212608,3,1,0.50
1951,"Morocco, mobile",212610,3,1,0.50
1952,"Morocco, mobile",212611,3,1,0.50
1953,"Morocco, mobile Meditelecom",212612,3,1,0.50
1954,"Morocco, mobile",212613,3,1,0.50
1955,"Morocco, mobile Meditelecom",212614,3,1,0.50
1956,"Morocco, mobile",212615,3,1,0.50
1957,"Morocco, mobile",212616,3,1,0.50
1958,"Morocco, mobile Meditelecom",212617,3,1,0.50
1959,"Morocco, mobile",212618,3,1,0.50
1960,"Morocco, mobile Meditelecom",212619,3,1,0.50
1961,"Morocco, mobile Meditelecom",212620,3,1,0.50
1962,"Morocco, mobile Meditelecom",212621,3,1,0.50
1963,"Morocco, mobile",212622,3,1,0.50
1964,"Morocco, mobile",212623,3,1,0.50
1965,"Morocco, mobile",212624,3,1,0.50
1966,"Morocco, mobile Wana full mobility",212626,3,1,0.50
1967,"Morocco, mobile Wana full mobility",212627,3,1,0.50
1968,"Morocco, mobile",212628,3,1,0.50
1969,"Morocco, mobile Wana full mobility",212629,3,1,0.50
1970,"Morocco, mobile Wana full mobility",212630,3,1,0.50
1971,"Morocco, mobile Wana full mobility",212633,3,1,0.50
1972,"Morocco, mobile Wana full mobility",212634,3,1,0.50
1973,"Morocco, mobile Wana full mobility",212635,3,1,0.50
1974,"Morocco, mobile",212636,3,1,0.50
1975,"Morocco, mobile",212637,3,1,0.50
1976,"Morocco, mobile Wana full mobility",212638,3,1,0.50
1977,"Morocco, mobile",212639,3,1,0.50
1978,"Morocco, mobile Wana full mobility",212640,3,1,0.50
1979,"Morocco, mobile",212641,3,1,0.50
1980,"Morocco, mobile",212642,3,1,0.50
1981,"Morocco, mobile Meditelecom",212644,3,1,0.50
1982,"Morocco, mobile Meditelecom",212645,3,1,0.50
1983,"Morocco, mobile Wana full mobility",212646,3,1,0.50
1984,"Morocco, mobile Wana full mobility",212647,3,1,0.50
1985,"Morocco, mobile",212648,3,1,0.50
1986,"Morocco, mobile Meditelecom",212649,3,1,0.50
1987,"Morocco, mobile",212650,3,1,0.50
1988,"Morocco, mobile",212651,3,1,0.50
1989,"Morocco, mobile",212652,3,1,0.50
1990,"Morocco, mobile",212653,3,1,0.50
1991,"Morocco, mobile",212654,3,1,0.50
1992,"Morocco, mobile",212655,3,1,0.50
1993,"Morocco, mobile Meditelecom",212656,3,1,0.50
1994,"Morocco, mobile Meditelecom",212657,3,1,0.50
1995,"Morocco, mobile",212658,3,1,0.50
1996,"Morocco, mobile",212659,3,1,0.50
1997,"Morocco, mobile Meditelecom",212660,3,1,0.50
1998,"Morocco, mobile",212661,3,1,0.50
1999,"Morocco, mobile",212662,3,1,0.50
2000,"Morocco, mobile Meditelecom",212663,3,1,0.50
2001,"Morocco, mobile Meditelecom",212664,3,1,0.50
2002,"Morocco, mobile Meditelecom",212665,3,1,0.50
2003,"Morocco, mobile",212666,3,1,0.50
2004,"Morocco, mobile",212667,3,1,0.50
2005,"Morocco, mobile",212668,3,1,0.50
2006,"Morocco, mobile Meditelecom",212669,3,1,0.50
2007,"Morocco, mobile",212670,3,1,0.50
2008,"Morocco, mobile",212671,3,1,0.50
2009,"Morocco, mobile",212672,3,1,0.50
2010,"Morocco, mobile",212673,3,1,0.50
2011,"Morocco, mobile Meditelecom",212674,3,1,0.50
2012,"Morocco, mobile Meditelecom",212675,3,1,0.50
2013,"Morocco, mobile",212676,3,1,0.50
2014,"Morocco, mobile",212677,3,1,0.50
2015,"Morocco, mobile",212678,3,1,0.50
2016,"Morocco, mobile Meditelecom",212679,3,1,0.50
2017,"Morocco, mobile Wana full mobility",212680,3,1,0.50
2018,"Morocco, mobile Wana full mobility",212681,3,1,0.50
2019,"Morocco, mobile Wana full mobility",212699,3,1,0.50
2020,"Morocco, mobile",212892,3,1,0.50
2021,Algeria,213,3,,0.30
2022,"Algeria, Algeri",21321,3,,0.30
2023,"Algeria, mobile Wataniya",2135,3,1,0.50
2024,"Algeria, mobile Wataniya",21355,3,1,0.50
2025,"Algeria, mobile Wataniya",21356,3,1,0.50
2026,"Algeria, mobile",21365,3,1,0.50
2027,"Algeria, mobile Telecom",213659,3,1,0.50
2028,"Algeria, mobile Telecom",21366,3,1,0.50
2029,"Algeria, mobile",21367,3,1,0.50
2030,"Algeria, mobile Telecom",213670,3,1,0.50
2031,"Algeria, mobile Telecom",21369,3,1,0.50
2032,"Algeria, mobile Orascom",21377,3,1,0.50
2033,"Algeria, mobile Orascom",213780,3,1,0.50
2034,"Algeria, mobile Orascom",213781,3,1,0.50
2035,"Algeria, mobile Orascom",21379,3,1,0.50
2036,"Algeria, satellite",2139619,7,,9.95
2037,"Algeria, satellite",21396190,7,,9.95
2038,"Algeria, satellite",21396191,7,,9.95
2039,"Algeria, satellite",21396192,7,,9.95
2040,Tunisia,216,5,,1.50
2041,"Tunisia, mobile Orascom",2162,5,1,1.70
2042,"Tunisia, mobile Tuntel",21640,5,1,1.70
2043,"Tunisia, mobile Tuntel",21641,5,1,1.70
2044,"Tunisia, mobile Tuntel",21642,5,1,1.70
2045,"Tunisia, mobile Orange",2165,5,1,1.70
2046,"Tunisia, Tunisi",21671,5,,1.50
2047,"Tunisia, mobile Tuntel",2169,5,1,1.70
2048,Libya,218,4,,0.75
2049,"Libya, mobile",21891,4,1,0.95
2050,"Libya, mobile",21892,4,1,0.95
2051,"Libya, mobile",21894,4,1,0.95
2052,"Libya, mobile",21895,4,1,0.95
2053,"Libya, mobile",21896,4,1,0.95
2054,"Libya, mobile",21899,4,1,0.95
2055,Gambia,220,5,,1.50
2056,"Gambia, mobile Qcell",2203,5,1,1.70
2057,"Gambia, mobile Comium",2206,5,1,1.70
2058,"Gambia, mobile Africell",2207,5,1,1.70
2059,"Gambia, mobile Gamcell",2209,5,1,1.70
2060,Senegal,221,4,,0.75
2061,"Senegal, mobile others",22130,4,1,0.95
2062,"Senegal, Dakar",221338,4,,0.75
2063,"Senegal, mobile others",22170,4,1,0.95
2064,"Senegal, mobile Sentel",22176,4,1,0.95
2065,Senegal VAS,22176553,4,,0.75
2066,Senegal VAS,2217667569,4,,0.75
2067,"Senegal, mobile Orange",22177,4,1,0.95
2068,"Senegal, mobile Orange",22178,4,1,0.95
